,,0
PCYO,CPLP,-0.05789299551937278
UAL,OFIX,-0.06462683028439699
OFIX,TATT,-0.06566027530827423
NTGR,CCOI,-0.0945258780845555
COHR,OFIX,-0.10211290530502422
SCVL,TATT,-0.10256403842369367
ITIC,SCVL,-0.10859561104826027
NTGR,UAL,-0.10900813030865157
UAL,PRFT,-0.11014444896390356
NTGR,COHR,-0.12720203064972974
CERS,OFIX,-0.12975273817618416
EA,FKWL,-0.1300396848409232
DGLY,SCVL,-0.1334859820464385
CDXC,PRFT,-0.13674686862623414
CCOI,CPLP,-0.14105514488366885
CCOI,TATT,-0.14449513767102573
UAL,PCYO,-0.14601927751216603
CCOI,DGLY,-0.14616330771152897
DGLY,PRFT,-0.1573971058223614
EA,UAL,-0.16098468257071838
WERN,CPLP,-0.1651463986412371
UAL,CPLP,-0.16971438775788159
DAKT,PCYO,-0.20208943450530553
UAL,WERN,-0.21553708381277947
EA,CDXC,-0.22111691200966843
ITIC,TATT,-0.2263262026970868
ITIC,DGLY,-0.22749789130151749
PRFT,FKWL,-0.23202183063158752
UAL,ITIC,-0.2323753804660186
DAKT,CCOI,-0.23381851319056998
PRFT,TATT,-0.233860075132273
FKWL,TATT,-0.23843879375612814
EXLS,DAKT,-0.24143948290627465
NTGR,CERS,-0.253007045704357
HSKA,PCYO,-0.2552902619090174
DGLY,WERN,-0.2562465567254481
EA,NTGR,-0.2580882825194447
HSKA,CPLP,-0.2640451497229833
ITIC,CDXC,-0.2686842957112832
EXLS,TATT,-0.27609034273011984
CCOI,HSKA,-0.3059423317878283
EXLS,NTGR,-0.31146979189440294
TATT,CPLP,-0.3177871474476546
COHR,CDXC,-0.3196382628545345
CDXC,WERN,-0.3317727817102221
DGLY,PCYO,-0.3379310734386184
ITIC,CPLP,-0.33966079852696435
EA,COHR,-0.342607151382709
SCVL,OFIX,-0.34793225560107627
HSKA,WERN,-0.3573540457407946
DAKT,IMKTA,-0.36316647505008637
UAL,DGLY,-0.3648764173616769
DGLY,HSKA,-0.36791958683877457
WERN,TATT,-0.3724938673410828
PCYO,TATT,-0.37748179594889764
DAKT,SCVL,-0.38071793287255584
CDXC,CCOI,-0.38171391231264135
UAL,FKWL,-0.3947042554820427
DAKT,PRFT,-0.40727008993458996
UAL,IMKTA,-0.40917050088174584
EXLS,OFIX,-0.41071246301501835
DAKT,ITIC,-0.4163607071347326
UAL,CERS,-0.43005046874661246
NTGR,WERN,-0.43867891737414394
IMKTA,TATT,-0.4399034063128304
ITIC,OFIX,-0.45590176341794414
EA,OFIX,-0.461796410676029
DAKT,WERN,-0.4632356735226046
NTGR,PCYO,-0.46358901151325776
DAKT,CERS,-0.46956762418667597
EXLS,UAL,-0.47020902397416586
EA,DAKT,-0.4704044889990658
OFIX,IMKTA,-0.49134847981207797
NTGR,IMKTA,-0.5074389799113566
CERS,CDXC,-0.5234167578342052
OFIX,WERN,-0.5323486229047105
EA,DGLY,-0.5535760111632233
FKWL,SCVL,-0.5902700123745146
HSKA,IMKTA,-0.5907746407315846
HSKA,SCVL,-0.6065010068331143
PRFT,HSKA,-0.6106183784301014
EA,CPLP,-0.6176783118655038
NTGR,PRFT,-0.6183053908627001
PRFT,OFIX,-0.6378091344628714
CERS,TATT,-0.6829064599605063
OFIX,PCYO,-0.683515074981643
EXLS,HSKA,-0.693688582542933
CERS,HSKA,-0.6961093278313
NTGR,SCVL,-0.7093849696705956
CCOI,OFIX,-0.733841666597261
